Document Name,Page Number,Current Charges,Account Number 1,Account Number 2,Zipcode,Vendor Name,Due Date,Customer Address,Remittance address
SP Gahanna - Gas 07.28.22 to 08.26.22 - Columbia Gas of Ohio - 4.pdf,1,$ 42.42,21045496 006 000 8,,60197-4629,,09/13/2022,Your Contact Information : 5435 Morse Rd Columbus OH 43230-3091,Make check payable to : COLUMBIA GAS PO BOX 4629 CAROL STREAM IL 60197-4629 lakbullbltlılı #
SP Gahanna - Gas 07.28.22 to 08.26.22 - Columbia Gas of Ohio - 4.pdf,2,,21045496 006 000 8,,,,,,
SP Gahanna - Gas 07.28.22 to 08.26.22 - Columbia Gas of Ohio - 3.pdf,1,$ 42.42,21045496 010 000 2,,60197-4029,,09/13/2022,Your Contact Information : 5435 Rd Morse Columbus OH 43230-3091,Make check payable to : COLUMBIA GAS PO BOX 4629 CAROL STREAM IL 60197-4029 M4 | f4 | d4 | hlı
SP Gahanna - Gas 07.28.22 to 08.26.22 - Columbia Gas of Ohio - 3.pdf,2,,21045496 010 000 2,,,,,,
SP Gahanna - Gas 07.28.22 to 08.26.22 - Columbia Gas of Ohio - 2.pdf,1,$ 47.40,21045496 009 000 5,,60197-4629,,09/13/2022,Your Contact Information : 5455 Rd Morse Columbus OH 43230-3091,Make check payable to : COLUMBIA GAS PO BOX 4629 CAROL STREAM IL 60197-4629 # balbb full #
SP Gahanna - Gas 07.28.22 to 08.26.22 - Columbia Gas of Ohio - 2.pdf,2,,21045496 009 000 5,,,,,,
SP Pickerington - Gas - 06.16.22 to 07.18.22 - Columbia Gas of Ohio.pdf,1,$ 934.89,21045509 001 000 4,,60197-4629,,08/02/2022,"If paid after 08/02/22 , a late payment charge of 1.5 % may be applied to your utility balance . G For more information regarding these charges , see the Detail Charges section . Financial Support you are struggling to pay your bill we can help . Flexible payment plans are available to customers experiencing a financial hardship . Any customer who is having trouble paying his / her bill should visit ColumbiaGasOhio.com or call 1-800-344-4077 to learn about payment arrangements and / or financial assistance programs . We are required to include your name , address , and usage information on lists of eligible customers that are made available to retail natural gas suppliers or governmental aggregators . If you wish to be excluded from this list , call 1-800-344-4077 or write Columbia Gas of Ohio , P.O. Box 2318 , Columbus OH 43216-2318 , . Budget Payment Plan Remember winter heating bills ? Get a jump on next winter and spread the cost of heating more Just evenly over the pay . year $ 2,047.00 for your plus natural gas service , any charges for a security deposit , Optional Services , or Heat Share contribution instead of the amount due this month , and you'll be enrolled in the Budget Payment Plan automatically .",Make check payable to : COLUMBIA GAS PO BOX 4629 CAROL STREAM IL 60197-4629 WallPrbMMMMMMMMMkh
SP Pickerington - Gas - 06.16.22 to 07.18.22 - Columbia Gas of Ohio.pdf,2,,21045509 001 000 4,,43147-9867,,,Service Address : 611 Windmiller Dr Pickerington OH 43147-9867,
SP Medina - Gas - Columbia Gas of Ohio - 1.16.23 to 2.14.23.pdf,1,"$ 14,454.21",20916928 001 000 4,Paperless Billing,60197-4629,,03/02/2023,Your Contact Information : 122 Medina Rd edina OH 44256-9650,Make payable check to : COLUMBIA GAS PO BOX 4629 CAROL STREAM IL 60197-4629 Waduhaldhlühlaralıla
SP Medina - Gas - Columbia Gas of Ohio - 1.16.23 to 2.14.23.pdf,2,,20916928 001 000 4,,,,,,
SP Medina - Gas - Columbia Gas of Ohio - 1.16.23 to 2.14.23.pdf,3,,,,,,,,
SP Gahanna - Gas 07.28.22 to 08.26.22 - Columbia Gas of Ohio.pdf,1,"$ 1,448.83",21134608 001 000 6,,43250-5091,,09/13/2022,Your Contact Information : 5435 Morse Rd Gahanna OH 43250-5091,COLUMBIA GAS PO BOX 4629 CAROL STREAM IL 60197-4629 Wallahihlühla44bb
SP Gahanna - Gas 07.28.22 to 08.26.22 - Columbia Gas of Ohio.pdf,2,,21134608 001 000 0,,43230-3091,,,Service Address : 5435 Morse Rd Gahanna OH 43230-3091,
SP Avon Lake - Gas - Columbia Gas of Ohio - 1.19.23 to 02.17.23.pdf,1,"$ 1,728.05",19571176 001 000 9,Avon Lake OH 441012-2096,,,03/06/2023,,"Termination Notice Your account is past - due . To avoid disconnection of service at 341 Lear Rd , Avon Lake Oh 44012-2937 scheduled on or after March 7 , 2023 , you must pay $ 2,185.13 in full . off unless Please be aware that partial payments will not protect you from shut - , you arrange a payment To discuss eligibility of plan call plan with us in a advance . payment , 1-800-344-4077 , or visit ColumbiaGasOhio.com ."
SP Avon Lake - Gas - Columbia Gas of Ohio - 1.19.23 to 02.17.23.pdf,2,,19571176 001 000 9,,44012-2937,,,,Service Address : 341 Lear Rd Avon Lake OH 44012-2937
SP Avon Lake - Gas - Columbia Gas of Ohio - 1.19.23 to 02.17.23.pdf,3,,:,,60197-4629,,,,Make check payable to : COLUMBIA GAS PO BOX 4629 CAROL STREAM IL 60197-4629 | 4u | d4 Waluhyfl ||||||
SP Powell South - Gas - 07.27.22 to 08.25.22 - Columbia Gas of Ohio.pdf,1,"$ 1,100.28",21045504 001 000 4,,60197-4629,,09/12/2022,Your Contact Information : 10351 Sawmill Py Powell OH 43065-9053,Make check payable to : COLUMBIA GAS PO BOX 4629 CAROL STREAM IL 60197-4629 · 14¶¶lıkl44P || -
SP Powell South - Gas - 07.27.22 to 08.25.22 - Columbia Gas of Ohio.pdf,2,,21045504 001 000 4,,43065-9053,,,Service Address : 10351 Powell Sawmill 43065-9053 Py OH,
SP Powell North - Gas 07.07.22 to 08.08.22 - Columbia Gas of Ohio.pdf,1,"$ 1,045.42",21045501 001 000 0,:,60197-4629,,08/23/2022,Your Contact Information 3872 Attucks Dr Powell OH 43065-6164,Make check payable to : COLUMBIA GAS PO BOX 4629 CAROL STREAM IL 60197-4629 1¶¶¶¶tılıl¼þµ ||| · ||
SP Powell North - Gas 07.07.22 to 08.08.22 - Columbia Gas of Ohio.pdf,2,,21045501 001 000 0,,43065-6164,,,Service Address : 3872 Attucks Dr Powell OH 43065-6164,
Southwick - Water - Town of Southwick (46).pdf,1,,030 - CI - 1802P,,01077,Town of Southwick,11/17/2022,96121,"Town of Southwick 454 College Hwy MA 01077 Southwick ,"
Southwick - Water - Town of Southwick (45).pdf,1,,030 - CI - 802RR,,01077,Town of Southwick,11/17/2022,15000,"Town of Southwick 454 College Hwy , Southwick MA 01077"
Southwick - Water - Town of Southwick (44).pdf,1,,030 - CI - 802SS,,01077,Town of Southwick,11/17/2022,Water Usage by Tier Usage 15000 6829,"Town of Southwick 454 College Hwy Southwick , MA 01077"
Southwick - Water - Town of Southwick (43).pdf,1,$ 162.76,030 - CI - 802TT,,01077,Town of Southwick,11/17/2022,Water Usage by Tier Usage 15000 7838,"Town of Southwick 454 College Southwick Hwy , MA 01077"
Southwick - Water - Town of Southwick (42).pdf,1,$ 265.93,030 - CI - 802UU,,01077,Town of Southwick,11/17/2022,37216,"Town of Southwick 454 College Hwy , Southwick MA 01077"
Southwick - Water - Town of Southwick (41).pdf,1,$ 173.67,030 - CI - 802YY,,01077,Town of Southwick,11/17/2022,Water Usage by Tier Usage 15000 9386,"Town of Southwick 454 College Hwy Southwick , MA 01077"
Southwick - Water - Town of Southwick (40).pdf,1,,030 - CI - 80200,,80200,Town of Southwick,11/17/2022,Water Usage by Tier Usage 15000,"Town of Southwick 454 College Hwy Southwick , MA 01077"
Southwick - Water - Town of Southwick (39).pdf,1,,030 - CI - 802NN,,01077,Town of Southwick,11/17/2022,Water Usage by Tier Usage 15000 808,"Town of Southwick 454 College Hwy Southwick , MA 01077"
Southwick - Water - Town of Southwick (38).pdf,1,,030 - CI - 802ZZ,,01077,Town of Southwick,11/17/2022,Water Usage by Tier Usage 15000,"Town of Southwick 454 College Hwy Southwick , MA 01077"
Southwick - Water - Town of Southwick (37).pdf,1,,030 - CI - 802FF,,01077,Town of Southwick,11/17/2022,Water Usage by Tier Usage 15000,"Town of Southwick 454 College Hwy MA 01077 Southwick ,"
Southwick - Water - Town of Southwick (36).pdf,1,,030 - CI - 1802Q,,01077,Town of Southwick,11/17/2022,44730,"Town of Southwick 454 College Hwy MA Southwick , 01077"
Southwick - Water - Town of Southwick (35).pdf,1,,030 - CI - 1802R,,01077,Town of Southwick,11/17/2022,67542,"Town of Southwick 454 College Hwy Southwick , MA 01077"
Southwick - Water - Town of Southwick (34).pdf,1,,030 - CI - 1802T,,01077,Town of Southwick,11/17/2022,"SOUTHWICK CARE , LLC 802 COLLEGE HIGHWAY SOUTHWICK MA 01077","Town of Southwick 454 College Hwy MA 01077 Southwick ,"
Southwick - Water - Town of Southwick (33).pdf,1,,030 - CI - 1802X,,01077,Town of Southwick,11/17/2022,"SOUTHWICK CARE , LLC 802 COLLEGE HIGHWAY SOUTHWICK MA 01077","Town of Southwick 454 College Hwy MA 01077 Southwick ,"
Southwick - Water - Town of Southwick (32).pdf,1,,030 - CI - 1802Z,,01077,Town of Southwick,11/17/2002,Water Usage by Tier Usage 15000 440,"Town of Southwick 454 College Hwy Southwick , MA 01077"
Southwick - Water - Town of Southwick (31).pdf,1,,030 - CI - 802AA,,01077,Town of Southwick,11/17/2022,39180,"Town of Southwick 454 College Hwy MA 01077 Southwick ,"
Southwick - Water - Town of Southwick (30).pdf,1,$ 176.14,030 - CI - 802BB,,01077,Town of Southwick,11/17/2022,15000 9736,"Town of Southwick 454 College Hwy MA 01077 Southwick ,"
Southwick - Water - Town of Southwick (29).pdf,1,$ 147.49,030 - CI - 802CC,,01077,Town of Southwick,11/17/2022,15000 5672,"Town of Southwick 454 College Hwy MA 01077 Southwick ,"
Southwick - Water - Town of Southwick (28).pdf,1,"$ 1,083.99",030 - C1-802QQ,,01077,Town of Southwick,11/17/2022,"SOUTHWICK CARE , LLC 802 COLLEGE HIGHWAY SOUTHWICK MA 01077","Town of Southwick 454 College Hwy MA 01077 Southwick ,"
Southwick - Water - Town of Southwick (27).pdf,1,,030 - CI - 802EE,,01077,Town of Southwick,11/17/2022,Water Usage by Tier Usage 15000,"Town of Southwick 454 College Hwy Southwick , MA 01077"
Southwick - Water - Town of Southwick (26).pdf,1,,030 - CI - 802GG,,01077,Town of Southwick,11/17/2022,15000,"Town of Southwick 454 College Hwy MA 01077 Southwick ,"
Southwick - Water - Town of Southwick (25).pdf,1,,030 - CI - 802HH,,01077,Town of Southwick,11/17/2022,"SOUTHWICK CARE , LLC 802 COLLEGE HIGHWAY MA SOUTHWICK 01077","Town of Southwick 454 College Hwy , MA Southwick 01077"
Southwick - Water - Town of Southwick (24).pdf,1,,030 - CI - 80211,,80211,Town of Southwick,,44316,"Town of Southwick 454 College Hwy MA 01077 Southwick ,"
Southwick - Water - Town of Southwick (23).pdf,1,,030 - CI - 802JJ,,01077,Town of Southwick,11/17/2022,33261,"Town of Southwick 454 College Hwy Southwick , MA 01077"
Southwick - Water - Town of Southwick (22).pdf,1,,030 - CI - 802KK,,01077,Town of Southwick,11/17/2022,36452,"Town of Southwick 454 College Hwy Southwick , MA 01077"
Southwick - Water - Town of Southwick (21).pdf,1,,030 - CI - 802LL,,01077,Town of Southwick,11/17/2022,Water Usage by Tier Usage 15000 7078,"Town of Southwick 454 College Hwy MA 01077 Southwick ,"
Southwick - Water - Town of Southwick (20).pdf,1,,030 - CI - 802MM,,01077,Town of Southwick,11/17/2022,27406,"Town of Southwick 454 College Hwy , MA Southwick 01077"
Southwick - Water - Town of Southwick (19).pdf,1,,030 - CI - 802DD,,01077,Town of Southwick,11/17/2022,15000 9909,"Town of Southwick 454 College Hwy MA 01077 Southwick ,"
Southwick - Water - Town of Southwick (18).pdf,1,,030 - CI - 18020,,11004,Town of Southwick,11/17/2022,31254,"Town of Southwick 454 College Hwy Southwick , MA 01077"
Southwick - Water - Town of Southwick (17).pdf,1,,030 - CI - 1802F,,01077,Town of Southwick,11/17/2022,"SOUTHWICK CARE , LLC 802 COLLEGE HIGHWAY MA SOUTHWICK 01077","Town of Southwick 454 College Hwy , MA Southwick 01077"
Southwick - Water - Town of Southwick (16).pdf,1,,030 - CI - 01796,,01796,Town of Southwick,11/17/2022,28193,"Town of Southwick 454 College Hwy , MA Southwick 01077"
Southwick - Water - Town of Southwick (15).pdf,1,,030 - CI - 1796R,,01077,Town of Southwick,11/17/2022,30185,"Town of Southwick 454 College Hwy , Southwick MA 01077"
Southwick - Water - Town of Southwick (14).pdf,1,,030 - CI - 1802A,,01077,Town of Southwick,11/17/2022,15000,"Town of Southwick 454 College Hwy Southwick , MA 01077"
Southwick - Water - Town of Southwick (13).pdf,1,,030 - CI - 1802B,,01077,Town of Southwick,11/17/2022,"SOUTHWICK CARE , LLC 802 COLLEGE HIGHWAY SOUTHWICK MA 01077","Town of Southwick 454 College Hwy , Southwick MA 01077"
Southwick - Water - Town of Southwick (12).pdf,1,,030 - CI - 1802C,,01077,Town of Southwick,11/17/2022,30197,"Town of Southwick 454 College Hwy , Southwick MA 01077"
Southwick - Water - Town of Southwick (11).pdf,1,,030 - CI - 1802E,,01077,Town of Southwick,11/17/2022,15000 6786,"Town of Southwick 454 College Hwy Southwick , MA 01077"
Southwick - Water - Town of Southwick (10).pdf,1,,030 - CI - 1802G,,01077,Town of Southwick,11/17/2022,15000 2283,"Town of Southwick 454 College Hwy Southwick , MA 01077"
Southwick - Water - Town of Southwick (9).pdf,1,,030 - CI - 1802H,,01077,Town of Southwick,11/17/2022,"SOUTHWICK CARE , LLC 802 COLLEGE HIGHWAY SOUTHWICK MA 01077","Town of Southwick 454 College Hwy Southwick , MA 01077"
Southwick - Water - Town of Southwick (8).pdf,1,,030 - CI - 18021,,18021,Town of Southwick,11/17/2022,38467,"Town of Southwick 454 College Hwy Southwick , MA 01077"
Southwick - Water - Town of Southwick (7).pdf,1,,030 - CI - 1802J,,01077,Town of Southwick,11/17/2022,"SOUTHWICK CARE , LLC 802 COLLEGE HIGHWAY SOUTHWICK MA 01077","Town of Southwick 454 College Hwy Southwick , MA 01077"
Southwick - Water - Town of Southwick (6).pdf,1,,030 - CI - 1802K,,01077,Town of Southwick,11/17/2022,28715,"Town of Southwick 454 College Hwy , MA Southwick 01077"
Southwick - Water - Town of Southwick (5).pdf,1,$ 414.69,030 - CI - 1802L,,01077,Town of Southwick,11/17/2022,57594,"Town of Southwick 454 College Southwick Hwy , MA 01077"
Southwick - Water - Town of Southwick (4).pdf,1,$ 107.50,030 - CI - 1602M,,01077,Town of Southwick,11/17/2022,Water Usage by Tier Usage 15000,"Town of 454 Southwick Southwick College Hwy , MA 01077"
Southwick - Water - Town of Southwick (3).pdf,1,$ 996.57,030 - CI - 1802N,,01077,Town of Southwick,11/17/2022,"SOUTHWICK CARE , LLC 802 COLLEGE HIGHWAY SOUTHWICK MA 01077","Town of Southwick 454 Southwick College Hwy , MA 01077"
Southwick - Water - Town of Southwick (2).pdf,1,"$ 1,287.42",030 - CI - 1802D,,01077,Town of Southwick,11/17/2022,"SOUTHWICK CARE , 802 COLLEGE LLC HIGHWAY SOUTHWICK MA 01077","Town of Southwick 454 Southwick College Hwy , MA 01077"
Southwick - Water - Town of Southwick (1).pdf,1,"$ 42,475.26",030 - CI - 1802S,,01077,Town of Southwick,11/17/2022,"SOUTHWICK 802 CARE , COLLEGE LLC SOUTHWICK HIGHWAY MA 01077","Town of 454 Southwick Southwick College MA Hwy , 01077"
Senior Living Meadow Lane Electric 07.12.22 to 08.10.22 - DTE Energy.pdf,1,"$ 4,961.65",9100 276 7667 5,9100 276 7667 5,48413-9634,DTE,09/02/2022,"MEADOW LANE ASSISTED LIVING LLC 150 MEADOW LN MI 48413-9634 BAD AXE ,",
Senior Living Meadow Lane Electric 07.12.22 to 08.10.22 - DTE Energy.pdf,2,,,,48226-1221,,,,
Senior Living Whitehall Gas 06.22.22 to 07.21.22 - DTE Energy.pdf,1,$ 976 !,9200 161 5729 8,,49461-9656,DTE,,11578 1 SP 0.530 ** WHITE T047 * 2 * LAKE P00 * ASSISTED M07 ************** LIVING LLC SINGLE - PIEC 6827 WHITEHALL WHITEHALL RD MI 49461-9656 Wallahi |||||||||||||||,Mail Payments to : DTE Energy P.O. Box 740786 Cincinnati OH 45274-0786
Senior Living Whitehall Gas 06.22.22 to 07.21.22 - DTE Energy.pdf,2,,,,45274-0786,,,,
Shared Services Operations - Brighton - Electric - DTE Energy.pdf,1,"$ 1,559.95",9200 027 8304 0,9200 027 8304 0,48116-9458,OPS,12/12/2022,13070 1 AV 0.423 ** T048 * 1 * P02 * M11 ******* AUTO ** 5 - DIGIT 4811 CSIG HOLDING COMPANY LLC STE 200 7927 NEMCO WAY BRIGHTON MI 48116-9458 |||||||| || - Malak | -,
Shared Services Operations - Brighton - Electric - DTE Energy.pdf,2,,,,,,,,
SP Ann Arbor - Electric & Gas 08.18.22 to 09.19.22 - DTE Energy.pdf,1,"$ 23,392.93",9100 381 3266 8,9100 381 3266 8,48176-9832,DTE,10/12/2022,9210 1 AV 0.423 ** T036 * 1 * P01 * M09 ******* AUTO ** 5 - DIGIT 48176 SENIOR LIVING ANN ARBOR 6230 STATE RD SALINE MI 48176-9832 ||||||||||||| W,
SP Ann Arbor - Electric & Gas 08.18.22 to 09.19.22 - DTE Energy.pdf,2,,,,48226-1221,,,,
SP Chesterfield - Electric 08.02.22 to 08.31.22 - DTE Energy.pdf,1,"$ 14,750.37",9200 092 3979 8,,48116-9458,DTE,09/23/2022,19786 1 AB 0.458T078 ° 2 P02 * M09 **** AUTO ** ALL FOR AADC 48 SENIOR LIVING CHESTERFIELD LLC STE 200 7927 NEMCO WAY BRIGHTON MI 48116-9458 ||||||||||||||||||,
SP Chesterfield - Electric 08.02.22 to 08.31.22 - DTE Energy.pdf,2,,,,48226-1221,,,,
SP Rockford - Gas 08.04.22 to 09.02.22 - DTE Energy.pdf,1,September 28,9100 370 4752 9,9100 370 4752 9,49341-9177,DTE,09/28/2022,53042 1 AV 0.423 ** SENIOR T189 * 2 * P00 * LIVING M09 AUTO *** SCH ** ROCKFORD 5 - LLC DIGIT 4931 2885 10 MILE RD NE ROCKFORD MI 49341-9177 r | | | ==== l us u | |||||||||||||||||||||,Mail Payments to : DTE Energy P.O. Box 740786 Cincinnati OH 45274-0786
SP Rockford - Gas 08.04.22 to 09.02.22 - DTE Energy.pdf,2,,,,48226-1221,,,,
Senior Living Whitehall Gas 06.22.22 to 07.21.22 - DTE Energy (3).pdf,1,$ 613,9100 336 5090 4,,49461-9656,DTE,,11578 1 SP WHITE 0.530 T047 ** * 2 * LAKE P00 * ASSISTED M07 ************** LIVING LLC SINGLE - PIEC 6827 WHITEHALL RD WHITEHALL MI 49461-9656 եջբոլցինեցիլնելեղեկաց,Mail Payments to . DTE 6237028 6013 Energy P.O. Box 740786 7.29.27 am Cincinnati OH 45274-0786
Senior Living Whitehall Gas 06.22.22 to 07.21.22 - DTE Energy (3).pdf,2,,,,45274-0786,,,,
Senior Living Whitehall Gas 06.22.22 to 07.21.22 - DTE Energy (2).pdf,1,,9200 161 5728 0,,49461-9656,DTE,,,
Senior Living Whitehall Gas 06.22.22 to 07.21.22 - DTE Energy (2).pdf,2,,,,48226-1221,,,,
Senior Living Stonegate Electric 07.23.22 to 08.22.22 - DTE Energy.pdf,1,"$ 4,368.39",9100 278 0103 4,,48471-1081,DTE,09/15/2022,80747 1 AV 0.423 ** T282 * 2 * P06 * M08 *** AUTO ** SCH 5 - DIGIT 4847 STONEGATE VILLAGE ASSISTED LIVING LLC 70 W ARGYLE ST SANDUSKY MI 48471-1081 637030 | - 4P ||||||||||||| DL,
Senior Living Stonegate Electric 07.23.22 to 08.22.22 - DTE Energy.pdf,2,,,,48226-1221,,,,
Senior Living Hathaway Hills Gas 08.02.22 to 09.01.22 - DTE Energy.pdf,1,$ 436.27,9100 398 5074 8,9100 398 5074 8,48838-3577,DTE,09/23/2022,"HATHAWAY HILLS ASSISTED LIVING LLC 1515 MEIJER DR GREENVILLE , MI 48838-3577",
Senior Living Hathaway Hills Gas 08.02.22 to 09.01.22 - DTE Energy.pdf,2,,,,48226-1221,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy.pdf,1,"$ 3,379.64",9100 244 1686 9,9100 244 1685 9,49512-2065,DTE,09/20/2022,1361 SP 0.530 T001 * 1 * P00 M08 ************** SINGLE - PIECE DEVONSHIRE RETIREMENT VILLAGE LLC STE 200 3106 KRAFT AVE SE GRAND RAPIDS MI 49512-2065 / | ol | fllaghlapus Turkklppkallale shef ],
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy.pdf,2,,,,48226-1221,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 26.pdf,1,$ 49.74,9100 244 1935 0,,49512-2065,DTE,,136 1 SP 0.530 * T001 * 1 * P00 * M08 ************** SINGLE - PIECE DEVONSHIRE RETIREMENT VILLAGE LLC STE 200 3196 KRAFT AVE SE GRAND RAPIDS MI 49512-2065 T - [ plp : || Parkulbedalfcho ohyllimphlepnoy | e,Mail Payments to : DTE Energy P.O. Box 740786 OH Cincinnati 45274-0786
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 26.pdf,2,,,,48226-1221,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 17.pdf,1,,9100 244 1721 4,,49512-2065,DTE,,136 1 SP 0.530T001 * 1 * P00 * M08 ************** SINGLE - PIECE DEVONSHIRE RETIREMENT VILLAGE LLC STE 200 3196 KRAFT AVE SE GRAND RAPIDS MI 49512-2065 yakumulMedelalofopoffapillophoalpogle,Mail Payments to : DTE Energy P.O. Box 740786 OH Cincinnati 45274-0786
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 17.pdf,2,,,,48226-1221,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 25.pdf,1,:,,,49512-2065,DTE,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 25.pdf,2,,,,48226-1221,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 24.pdf,1,$ 47.47,9100 244 1958 2,,49512-2065,DTE,,136 1 SP 0.530T001 * 1 * P00 * M08 * *********** SINGLE - PIECE DEVONSHIRE RETIREMENT VILLAGE LLC STE 200 3106 KRAFT AVE SE GRAND RAPIDS MI 49512-2065 [ dpof | ch | T4MWlkpphilida qhdehpayfe,Mail Payments to : DTE Energy P.O. Box 740786 Ol | Cincinnati 45274-0786
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 24.pdf,2,,,,48226-1221,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 23.pdf,1,,9100 244 1710 7,9100 244 1710 7,49512-2065,DTE,,1361 SP 0.530 ** T001 * 1 * P00 * M08 ************** SINGLE - PIECE DEVONSHIRE RETIREMENT VILLAGE LLC STE 200 3190 KRAFT AVE SE GRAND RAPIDS MI 49512-2065 [ lld ] | dp ||| TAMMqJ #hylllpool,Mail Payments to : DTE Energy P.O. Box 740786 Cincinnati OH 45274-0786
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 23.pdf,2,,,,48226-1221,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 22.pdf,1,,9100 244 1893 1,,49512-2065,DTE,,*** SINGLE PIECE T001 1 * POO * M08 * 136 1 SP 0.530 - DEVONSHIRE RETIREMENT VILLAGE LLC STE 200 3190 KRAFT AVE SE GRAND RAPIDS MI 49512-2065 TafurMuidedldkalajaho || p4 | aqlıldpory ),Mail Payments to : DTE Energy P.O. Box 740786 Cincinnati OH 45274-0786
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 22.pdf,2,,,,48226-1221,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 21.pdf,1,,9100 244 1904 6,9100 244 1904 6,49512-2065,DTE,,136 1 SP 0.530 T001 * 1 * P00 * M08 ************** SINGLE - PIECE DEVONSHIRE RETIREMENT VILLAGE LLC STE 200 3196 KRAFT AVE SE GRAND RAPIDS MI 49512-2065 | Tylmalerlalalafelpo fehlikapletalprugh,Mail Payments : to DTE Energy P.O. Box 740786 OH Cincinnati 45274-0786
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 21.pdf,2,,,,48226-1221,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 20.pdf,1,,9100 244 1927 7,,49512-2065,DTE,,3196 KRAFT AVE SE GRAND RAPIDS MI 49512-2065,Mail Payments to DTE Energy P.O. Box 740786 Cincinnati OH 45274-0786
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 20.pdf,2,,,,48226-1221,,,,
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 19.pdf,1,,9200 029 6670 2,,49512-2065,DTE,,136 1 SP 0.530 ** T001 * 1 * P00 * M08 ************** SINGLE - PIECE DEVONSHIRE RETIREMENT VILLAGE LLC STE 200 3196 KRAFT AVE SE GRAND RAPIDS MI 49512-2065 || Pmy4Fullerfolellalofotpo e4pflingledalpsryb,Mail Payments to : DTE Energy P.O. Box 740786 Cincinnati OH 45274-0786
Senior Living Devonshire Electric 07.28.22 to 08.26.22 - DTE Energy - 19.pdf,2,,,,48226-1221,,,,
